,carrier,sentiment,polarity,churn_likeliness,text,clf_text
2750,att tmobile,pos,0.4375,0,"@NXQJR @TMobile @ATT Glad to hear it's working out for you! Yeah, you need to join that #Unlimited life ;)",@tmobile @att glad to hear working out for you yeah you need to join that life
2765,att tmobile,neu,0,0,@JohnLegere @ATT @TMobile R u a virgin or do you just play one in twitter ads,@att @tmobile r u a virgin or do you just play one in twitter ads
2804,att tmobile,neu,0,1,"Oh gawd don’t do that. They have no tower atm, no service. Do some research. I just had to go buy a whole new phone n service with @verizon… https://t.co/TV09VHvrmk""",oh gawd don t do that they have no tower atm no service do some research i just had to go buy a whole new phone n service with @verizon
2892,att tmobile,neu,0,1,"on the same note my dad switched his phone into my phone bill and he also had prepaid the following month for service. He was already with @TMobile so they credited the full amount of his bill to my new account. I'm just amazed at the stark customer service difference.… https://t.co/XLYWZjuhQ4""",on the same note my dad switched his phone into my phone bill and he also had prepaid the following month for service he was already with @tmobile so they credited the full amount of his bill to my new account just amazed at the stark customer service difference
2897,att tmobile,neu,0,1,"switched to @tmobile from @ATT and I am just blown away. I made the switch during the beginning of my billing cycle and tmobile gave me an aggressive credit to help ease the cost of the full bill i'd have to pay. I'd never see a credit like that with att""",switched to @tmobile from @att and i am just blown away i made the switch during the beginning of my billing cycle and tmobile gave me an aggressive credit to help ease the cost of the full bill have to pay never see a credit like that with att
2981,att tmobile,pos,0.6,0,@JohnLegere @ATT @TMobile The PEOPLE that the world calls immoral are the PEOPLE that show the world its own shame.… https://t.co/tMUOuJn8oM,@att @tmobile the people that the world calls immoral are the people that show the world its own shame
3172,att tmobile,pos,0.15,1,I switched to tmobile from att last week and its not bad so far,i switched to tmobile from att last week and its not bad so far
3197,att tmobile,neu,0,0,RT @ulicesthegreat8: Customer came in with a Samsung Galaxy Fold 5G on @ATT and we did a speed test on a Samsung Galaxy Note 10 on @TMobile…,rt customer came in with a samsung galaxy fold on @att and we did a speed test on a samsung galaxy note on @tmobile
3237,att tmobile,neu,0,0,"Not only that, but @AndrewYang is fully committed to Puerto Rico’s statehood if Puerto Ricans want it to be. 

He wants to double down on ALL Americans. That includes PR, you, & your mama too. Check him out!

https://t.co/3p9rjoSKf2… https://t.co/BMMPotQWep""",not only that but is fully committed to puerto rico s statehood if puerto ricans want it to be he wants to double down on all americans that includes pr you your mama too check him out
3640,att tmobile,neu,0,1,@JohnLegere @ATT @TMobile Puerto Ricans should boycott At &amp;T,@att @tmobile puerto ricans should boycott at t
3675,att tmobile,neg,-0.75,1,So disappointed I went from @TMobile  to @ATT .  Regret ever switching .,so disappointed i went from @tmobile to @att regret ever switching
3685,att tmobile,pos,0.357142857,0,@LogDaddyLogs @ATT @TMobile all the way!!! How did @JohnLegere do things so right?!,@att @tmobile all the way how did do things so right
3688,att tmobile,neg,-0.8,1,The grass isn’t always greener 😕...I miss y’all @tmobile. Can I come home? I hate it here @att,the grass isn t always greener i miss y all @tmobile can i come home i hate it here @att
3689,att tmobile,neg,-0.089285714,0,"RT @PopAIertNews: Snippets of Selena Gomez’s comeback single #LoseYouToLoveMe have been used in advertisements for @TMobile &amp; @ATT! 🥀🖤

htt…",rt snippets of selena gomez s comeback single have been used in advertisements for @tmobile @att htt
3740,att tmobile,pos,0.7,1,@PopAIertNews @TMobile @ATT Say good bye to your acc,@tmobile @att say good bye to your acc
4024,att tmobile,neu,0,0,@TMobileHelp @ATT  would you do that to your customers ?,@tmobilehelp @att would you do that to your customers
4124,att tmobile,neg,-0.625,0,@TMobileHelp I meant @att - not you folks! Sorry for the confusion!,@tmobilehelp i meant @att not you folks sorry for the confusion
12901,att tmobile,neu,0,0,"RT GSMA: In 30 mins, #ZenKey will be participating at the #identity seminar to explain how ATT, sprint, TMobile and verizon have joined forces to protect their subscribers' digital identity. Come and join us in Concourse Hall, room 408B.
… https://t.co/5uc5q8iOfe""",rt gsma in mins will be participating at the seminar to explain how att sprint tmobile and verizon have joined forces to protect their subscribers digital identity come and join us in concourse hall room
12930,att tmobile,neu,0,0,"In 30 mins, #ZenKey will be participating at the #identity seminar to explain how @ATT, @sprint, @TMobile and @verizon have joined forces to protect their subscribers' digital identity. Come and join us in Concourse Hall, room 408B.
https://t.co/ozNmkEoiDN… https://t.co/tTQDF0UZrA""",in mins will be participating at the seminar to explain how @att @tmobile and @verizon have joined forces to protect their subscribers digital identity come and join us in concourse hall room
17809,att tmobile,neu,0,1,"Expect .⁦@TMobile⁩ &  .⁦@ATT⁩ to get in on these #streaming discounts as well.            #DisneyPlus #VerizonFree    (.⁦@Variety⁩ ) https://t.co/BGRLfR7ec0""",expect @tmobile @att to get in on these discounts as well #verizonfree
19884,att tmobile,neu,0,1,"They’re merging so that literally won’t solve your problem. You need to switch to ATT or Verizon. I have ATT and I switched to sprint last year bc it was cheaper, and I ended up switching back a week later. It was AWFUL. Don’t do it girl.… https://t.co/dcY9UJxnxP""",they re merging so that literally won t solve your problem you need to switch to att or verizon i have att and i switched to sprint last year bc it was cheaper and i ended up switching back a week later it was awful don t do it girl
21479,att tmobile,neg,-0.5,0,@HeartOfSMG @PopAIertNews @TMobile @ATT Sorry I just found out,@tmobile @att sorry i just found out
21484,att tmobile,pos,0.2,0,@bedofroses2001 really att this why I have tmobile and comcast,really att this why i have tmobile and comcast
21485,att tmobile,neg,-0.155555556,0,"@PopAIertNews @AriTaylena @TMobile @ATT Please take this down, the videos were not meant to be released yet",@tmobile @att please take this down the videos were not meant to be released yet
21526,att tmobile,neu,0,0,@PopAIertNews @TMobile @ATT I SCREAMED AOIDNOIDZONDNOD OMG ITS SO HEAVINGLY CRYIINGGGG,@tmobile @att i screamed aoidnoidzondnod omg its so heavingly cryiingggg
5537,att verizon,pos,0.2,0,@MisterPreda @verizon @ATT @verizon is absolute GARBAGE even when you do use the service FT🤦🏻‍♂️,@verizon @att @verizon is absolute garbage even when you do use the service ft
5605,att verizon,neu,0,0,@MisterPreda @verizon @ATT Can't relate,@verizon @att relate
5661,att verizon,pos,0.2,0,@MisterPreda @sarahcoasts @verizon @ATT Goals not having to check how much I have in my savings account.,@verizon @att goals not having to check how much i have in my savings account
5738,att verizon,neu,0,0,"Anyone here have experience selling for big telecom (Verizon, ATT, Sprint, etc) as a SMB Account Exec? -

Finished 2nd round interview today and looking for insights into this industry. Coming from selling uniform rentals so I was lost on all the product offerings. Sales man…""",anyone here have experience selling for big telecom verizon att sprint etc as a smb account exec finished round interview today and looking for insights into this industry coming from selling uniform rentals so i was lost on all the product offerings sales man
5837,att verizon,pos,0.05,1,@verizon @VZWSupport how is your coverage at Houston (HOU)? @ATT barely works,@verizon how is your coverage at houston hou @att barely works
5883,att verizon,pos,0.25,1,"Love the ... I have no responsibility for this thing I obviously signed up for (they have your acct info so you gave it to them) nor am I big boy enough to check on my savings balance in 4 years. So YOU have to change my diaper and take care of my non-adulting ass.… https://t.co/u75gOnqhSy""",love the i have no responsibility for this thing i obviously signed up for they have your acct info so you gave it to them nor am i big boy enough to check on my savings balance in years so you have to change my diaper and take care of my ass
5942,att verizon,neu,0,0,@MisterPreda @verizon @ATT Me when I found out I had two Netflix accounts 🙄🙄,@verizon @att me when i found out i had two netflix accounts
5949,att verizon,neu,0,1,"this happened to my dad too. they slid an extra phone line on there and never itemized it as such on the bill UNTIL we switched… https://t.co/gacaxrqlsN""",this happened to my dad too they slid an extra phone line on there and never itemized it as such on the bill until we switched
6000,att verizon,pos,0.061904762,1,"On the left is @ATT #5GE #faux5G. On the right is @verizon 4G LTE. Case. Closed. #MWC19 #5GBuiltRight… """,on the left is @att on the right is @verizon lte case closed
6037,att verizon,pos,0.8,1,@MisterPreda @verizon @ATT I was thinking about switching to Verizon today but we stand in solidarity lol,@verizon @att i was thinking about switching to verizon today but we stand in solidarity lol
6082,att verizon,neu,0,0,"Not to mention telecommunications. @verizon data, @ATT landlines, AND @comcast were all out in my town within 6 hours of the outage, and continued to be out for 3 days. I’m wondering if in addition to generators, we all need sat phones.… https://t.co/xRQJemnMPn""",not to mention telecommunications @verizon data @att landlines and were all out in my town within hours of the outage and continued to be out for days i m wondering if in addition to generators we all need sat phones
6100,att verizon,pos,0.03125,0,"I mean, I know you and Joey are not on Jeffree Star rich status but like, HOW DID YOU NOT NOTICED ... 100$ for almost 5 years… https://t.co/p5sFp6gqYR""",i mean i know you and joey are not on jeffree star rich status but like how did you not noticed for almost years
6203,att verizon,neu,0,0,RT @tyleriacona: @MisterPreda @verizon @ATT This is giving me Mariah Carey not knowing that she has to pay for electricity energy,rt @verizon @att this is giving me mariah carey not knowing that she has to pay for electricity energy
6224,att verizon,pos,0.433333333,1,"@ATT so @verizon is giving away a free year of @disneyplus on top of their already free subscription to @AppleMusic... & @Spotify is giving away free @google home minis... where are our perks?!? 😝""",@att so @verizon is giving away a free year of on top of their already free subscription to is giving away free home minis where are our perks
6249,att verizon,neu,0,0,@MisterPreda @verizon @ATT I used to work for Verizon fraud department and trust me this happens OFTEN 🐸🍵,@verizon @att i used to work for verizon fraud department and trust me this happens often
6289,att verizon,neg,-0.029166667,0,"I’m a little surprised at the verizon #DisPlus news just because Att is Disney’s corporate cell partner.

You’d think both sides would be keen to reenforce that relationship""",i m a little surprised at the verizon news just because att is disney s corporate cell partner you d think both sides would be keen to reenforce that relationship
6327,att verizon,neu,0,0,@MisterPreda @verizon @ATT I would be RAGING,@verizon @att i would be raging
